Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão,Tax. Performance,Tax. Administração
VPPR11,Lajes Corporativas,"21,79","186.623,55","0,53","0,07","0,53 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,53 %","-10,74 %","-10,27 %","-10,27 %","302.672.656,15",N/A,N/A,N/A,N/A,N/A,N/A,2,"2.034,54",31.371,N/A,"20,00 % a.a","0,95 % a.a"
VRTA11,Papéis,"78,98","1.134.483,86","0,94","0,85","1,06 %","3,19 %","6,55 %","13,31 %","1,06 %","1,09 %","1,11 %","2,09 %","-3,15 %","-2,12 %","5,45 %","1.316.635.896,64","85,01","0,93","1,00 %","-6,76 %","-5,82 %","2,70 %",14,"976,25",105.131,N/A,N/A,"1,00 % a.a"
VRTM11,Misto,"7,35","188.343,80","0,78","0,09","1,22 %","3,68 %","7,66 %","16,08 %","1,23 %","1,28 %","1,34 %","4,93 %","-0,40 %","0,81 %","18,65 %","445.393.450,23",N/A,N/A,N/A,N/A,N/A,N/A,12,"1.064,15",12.001,N/A,"0,20 % a.a","0,90 % a.a"
VSEC11,Papéis,"0,21","2,5",0,"2,05","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","138,00 %","0,00 %","0,00 %",N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,"904,16",8.102,N/A,"20,00 % a.a","0,70 % a.a"
VSHO11,Shoppings,"74,44","31.684,95","0,65","0,68","0,88 %","3,20 %","5,64 %","11,68 %","1,07 %","0,94 %","0,97 %","2,12 %","1,20 %","2,09 %","6,76 %","240.803.801,31","115,77","0,64","0,59 %","16,50 %","17,19 %","22,61 %",3,"1.345,17",2.895,"0,75 % a.a",N/A,N/A
VSLH11,Papéis,"1,86","155.972,00","0,18","0,03","1,17 %","3,78 %","7,21 %","14,44 %","1,26 %","1,20 %","1,20 %","2,55 %","5,99 %","7,23 %","0,38 %","305.365.567,56","10,23","0,18","0,26 %","-1,54 %","-1,28 %","17,54 %",14,"1.798,77",63.720,N/A,"20,00 % a.a","0,95 % a.a"
VTBL11,Outros,N/A,N/A,N/A,"1,54","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"19.105.850,77",N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,1,N/A,N/A,N/A
VTLT11,Imóveis Industriais e Logísticos,"88,98","12.462.404,00","0,98","1,26","0,00 %","0,00 %","3,65 %","10,92 %","0,00 %","0,61 %","0,91 %","0,00 %","0,00 %","0,00 %",N/A,"191.517.274,18","90,55","0,98","1,14 %","-10,11 %","-9,08 %","-2,35 %",1,"1.116,71",5.533,"0,95 % a.a",N/A,N/A
VTPL11,Papéis,"64,25",66,"0,54","0,75","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"166.279.124,46",N/A,N/A,N/A,N/A,N/A,N/A,2,"6.234,83",125,N/A,N/A,N/A
VVCO11,Lajes Corporativas,"14,96","2.352,25","1,04","11,16","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"141.936.129,37",N/A,N/A,N/A,N/A,N/A,N/A,4,"1.203,66",2.400,N/A,"20,00 % a.a","1,20 % a.a"
VVCR11,Papéis,"9,4","48.384,95","0,86","0,1","1,04 %","2,98 %","6,74 %","13,17 %","0,99 %","1,12 %","1,10 %","4,48 %","-2,44 %","-1,42 %","8,28 %","190.415.915,65",N/A,N/A,N/A,N/A,N/A,N/A,14,"3.260,32",2.106,N/A,N/A,"1,15 % a.a"
VVMR11,Lajes Corporativas,"82,89","31.317,00","0,99","4,6","5,41 %","5,65 %","6,13 %","7,00 %","1,88 %","1,02 %","0,58 %","5,65 %","0,24 %","5,66 %","6,15 %","240.422.038,19",N/A,N/A,N/A,N/A,N/A,N/A,5,"2.076,86",522,N/A,N/A,N/A
VVPR11,Misto,"101,5","1.249.061,55","1,59","0,89","0,89 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","7,45 %","0,40 %","1,30 %","14,44 %","118.155.565,38","98,03","1,04","0,74 %","-0,10 %","0,64 %","0,09 %",14,"3,43",8.102,N/A,N/A,N/A
VVRI11,Indefinido,"80,79",236,"0,85","0,35","0,45 %","0,84 %","0,84 %","4,31 %","0,84 %","0,84 %","0,36 %","0,84 %","-12,62 %","-12,23 %","-12,23 %","151.717.299,98",N/A,N/A,N/A,N/A,N/A,N/A,2,"8.999,56",150,N/A,N/A,N/A
VXXV11,Fundo de Desenvolvimento,"753,71","24.862.747,33","1,57","273,35","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"227.093.276,68",N/A,N/A,N/A,N/A,N/A,N/A,1,"14.270,17",15,N/A,N/A,N/A
WHGR11,Indefinido,"9,54","196.078,55","0,96","0,1","1,03 %","3,25 %","6,68 %","13,19 %","1,08 %","1,11 %","1,10 %","2,10 %","3,74 %","4,81 %","13,59 %","306.595.659,00",N/A,N/A,N/A,N/A,N/A,N/A,1,"1.139,42",15.082,N/A,"20,00 % a.a","1,00 % a.a"
WPLZ11,Shoppings,"50,97","2.194,90","0,94","0,37","0,73 %","2,21 %","4,49 %","11,17 %","0,74 %","0,75 %","0,93 %","2,89 %","4,95 %","5,71 %","12,87 %","64.701.024,85","54,52","0,93","0,68 %","-37,90 %","-37,48 %","-43,83 %",1,"5.339,91",1.476,N/A,N/A,"0,55 % a.a"
WSEC11,Indefinido,"1,41","1.533,00","0,96","1,46","0,00 %","0,00 %","319,54 %","715,34 %","0,00 %","53,26 %","59,61 %","752,24 %","0,00 %","0,00 %",N/A,"3.603.090,71",N/A,N/A,N/A,N/A,N/A,N/A,14,"13.042,00",918,N/A,"20,00 % a.a","1,00 % a.a"
WTSP11B,Misto,36,"3.852,00","0,68","0,05","0,09 %","0,81 %","26,17 %","27,19 %","0,81 %","4,36 %","2,27 %","0,81 %","0,00 %","0,00 %",N/A,"104.295.912,94","84,21","0,43","0,06 %","16,18 %","16,25 %","12,98 %",2,"6,67",210,N/A,N/A,N/A
XLPR11,Papéis,71,"21.441,75","0,88","0,5","0,67 %","0,67 %","0,67 %","9,35 %","0,67 %","0,67 %","0,78 %","0,67 %","0,00 %","0,00 %",N/A,"39.667.248,20",N/A,N/A,N/A,N/A,N/A,N/A,0,"3.068,53",1.399,"0,50 % a.a",N/A,"0,65 % a.a"
XPCA11,Indefinido,"8,4","759.208,25","0,86","0,11","1,27 %","4,03 %","8,22 %","17,48 %","1,34 %","1,37 %","1,46 %","5,37 %","-2,14 %","-0,90 %","17,06 %","443.595.819,28","9,74","0,86","1,23 %","2,63 %","3,89 %","16,85 %",0,"857,89",94.880,N/A,"10,00 % a.a","1,00 % a.a"
XPCI11,Papéis,"83,96","1.307.578,55","0,95","0,88","1,02 %","3,19 %","6,58 %","14,01 %","1,06 %","1,10 %","1,17 %","2,08 %","3,86 %","4,92 %","8,50 %","771.385.565,95","89,57","0,94","0,98 %","-2,46 %","-1,50 %","7,21 %",14,"1.260,09",81.174,N/A,N/A,"1,00 % a.a"
XPCM11,Lajes Corporativas,"8,21","27.477,35","0,4","0,02","0,20 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,20 %","-0,87 %","-0,67 %","-0,67 %","49.216.548,93","29,04","0,28","0,07 %","-34,13 %","-34,09 %","-44,99 %",1,"4.735,88",15.945,N/A,N/A,"0,80 % a.a"
XPHT11,Hotéis,123,"230.869,59","0,66","0,41","0,93 %","2,91 %","5,33 %","10,11 %","0,97 %","0,89 %","0,84 %","10,11 %","15,85 %","16,93 %","15,37 %","581.976.733,73","63,13","1,95","0,65 %","-33,00 %","-32,56 %","-26,69 %",14,"29,85",1.268,N/A,N/A,N/A
XPID11,Indefinido,"48,01","112.269,35",N/A,"0,75","1,43 %","4,17 %","7,36 %","13,92 %","1,39 %","1,23 %","1,16 %","5,26 %","-2,78 %","-1,39 %","17,41 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"2.350,46",0,N/A,N/A,"0,95 % a.a"
XPIE11,Indefinido,"54,42","781.004,95",N/A,1,"1,81 %","5,35 %","8,65 %","13,24 %","1,78 %","1,44 %","1,10 %","7,24 %","-3,15 %","-1,40 %","12,12 %",N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,"1.143,53",0,N/A,"20,00 % a.a","1,30 % a.a"
XPIN11,Imóveis Industriais e Logísticos,"67,8","849.077,30","0,64","0,85","1,19 %","3,47 %","6,79 %","13,66 %","1,16 %","1,13 %","1,14 %","4,53 %","1,94 %","3,16 %","-1,83 %","751.801.070,21","105,14","0,64","0,81 %","1,20 %","2,02 %","3,51 %",81,"1.704,49",39.441,N/A,N/A,"0,75 % a.a"
XPLG11,Imóveis Industriais e Logísticos,"101,03","4.187.861,85","0,95","0,82","0,79 %","2,34 %","4,82 %","10,11 %","0,78 %","0,80 %","0,84 %","1,56 %","-1,73 %","-0,95 %","1,11 %","4.453.904.859,53","106,03","0,95","0,77 %","-6,93 %","-6,21 %","4,71 %",25,"973,74",11.499,"0,95 % a.a","20,00 % a.a",N/A
XPML11,Shoppings,"110,43","9.231.461,05",1,"0,92","0,82 %","2,51 %","5,11 %","10,68 %","0,84 %","0,85 %","0,89 %","3,36 %","3,60 %","4,45 %","9,56 %","6.468.497.036,42","110,46",1,"0,83 %","9,43 %","10,34 %","18,24 %",16,"881,41",704.717,N/A,"20,00 % a.a","0,75 % a.a"
XPPR11,Lajes Corporativas,"12,54","78.639,38","0,21","0,07","0,53 %","1,02 %","2,30 %","4,38 %","0,34 %","0,38 %","0,37 %","0,53 %","-9,03 %","-8,55 %","-8,55 %","443.953.188,51","60,68","0,21","0,12 %","-18,41 %","-18,31 %","-21,40 %",2,"21,62",42.867,N/A,N/A,N/A
XPSF11,Fundo de Fundos,"6,77","288.226,30","0,84","0,07","1,03 %","3,09 %","6,40 %","12,97 %","1,03 %","1,07 %","1,08 %","4,18 %","-1,73 %","-0,72 %","16,40 %","348.516.569,78","8,05","0,84","0,87 %","-3,59 %","-2,75 %","-89,83 %",14,"1.244,36",54.614,N/A,"20,00 % a.a","1,00 % a.a"
XTED11,Lajes Corporativas,"8,82","17.641,88","0,68","11,16",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"67.378.204,04","28,02","0,31","0,00 %","-0,36 %","-0,36 %","-3,45 %",1,"29,46",4.098,"1,00 % a.a",N/A,"0,20 % a.a"
YUFI11,Fundo de Desenvolvimento,15,40,"0,33","29,23","0,00 %","0,00 %","0,00 %","1,16 %","0,00 %","0,00 %","0,10 %","2,80 %","0,00 %","0,00 %",N/A,"22.467.678,33",N/A,N/A,N/A,N/A,N/A,N/A,11,"27.935,37",56,N/A,N/A,N/A
YUFI11B,Indefinido,N/A,N/A,N/A,"0,63","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"0,00 %","0,00 %","0,00 %",N/A,"105,53",N/A,"0,60 %","-0,01 %","0,59 %","6,32 %",0,N/A,0,N/A,N/A,N/A
ZAGH11,Serviços Financeiros Diversos,"10,72","63.063,25","1,19","0,05","0,48 %","1,55 %","3,00 %","6,85 %","0,52 %","0,50 %","0,57 %","1,75 %","-3,32 %","-2,86 %","-1,00 %","82.413.743,95",N/A,N/A,N/A,N/A,N/A,N/A,1,"4.461,11",497,N/A,"20,00 % a.a","1,50 % a.a"
ZAVC11,Indefinido,"9,43","7.557,25","0,91","0,12","1,32 %","3,96 %","8,25 %","17,72 %","1,32 %","1,38 %","1,48 %","5,42 %","-1,09 %","0,22 %","7,54 %","36.454.150,83",N/A,N/A,N/A,N/A,N/A,N/A,1,"3.774,12",780,"1,25 % a.a","20,00 % a.a",N/A
ZAVI11,Indefinido,"9,97","78.464,05","0,72","0,12","1,21 %","3,39 %","6,95 %","15,23 %","1,13 %","1,16 %","1,27 %","4,48 %","1,53 %","2,76 %","12,97 %","162.144.520,19",N/A,N/A,N/A,N/A,N/A,N/A,9,"2.283,47",2.519,N/A,"20,00 % a.a","1,25 % a.a"
ZIFI11,Fundo de Desenvolvimento,"899,99","199,89","0,51","3,31","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",N/A,"83.318.092,58",N/A,N/A,N/A,N/A,N/A,N/A,14,"17.167,32",89,N/A,N/A,N/A
